"名前","値","許可された値","変更可能","送信元","適用タイプ","データ型","説明","ApplyMethod","MinimumEngineVersion"
"group_concat_max_len",,"4-18446744073709547520",true,"engine-default","dynamic","integer","Maximum allowed result length in bytes for the GROUP_CONCAT().","pending-reboot",
"gtid-mode","OFF","OFF,ON",false,"system","static","string","This option specifies whether GTIDs are enabled","pending-reboot",
"host_cache_size",,"0-65536",true,"engine-default","dynamic","integer","The size of the internal host cache.","pending-reboot",
"init_connect",,,true,"engine-default","dynamic","string","String to be executed by the server for each client that connects.","pending-reboot",
"innodb_adaptive_flushing",,"0,1",true,"engine-default","dynamic","boolean","Enables InnoDB Adaptive Flushing (default=on for RDS)","pending-reboot",
"innodb_adaptive_hash_index","0","0,1",true,"system","dynamic","boolean","Whether innodb adaptive hash indexes are enabled or disabled","pending-reboot",
"innodb_adaptive_max_sleep_delay",,"0-1000000",true,"engine-default","dynamic","integer","Allows InnoDB to automatically adjust the value of innodb_thread_concurrency up or down according to the current workload.","pending-reboot",
"innodb_autoextend_increment",,"1-1000",true,"engine-default","dynamic","integer","The increment size (in MB) for extending the size of an auto-extending tablespace file when it becomes full","pending-reboot",
"innodb_buffer_pool_dump_at_shutdown",,"0,1",false,"engine-default","dynamic","boolean","Specifies whether to record the pages cached in the InnoDB buffer pool when the MySQL server is shut down.","pending-reboot",
"innodb_buffer_pool_dump_now",,"0,1",false,"engine-default","dynamic","boolean","Immediately records the pages cached in the InnoDB buffer pool.","pending-reboot",
"innodb_buffer_pool_filename",,,false,"engine-default","dynamic","string","Specifies the file that holds the list of page numbers produced by innodb_buffer_pool_dump_at_shutdown or innodb_buffer_pool_dump_now.","pending-reboot",
"innodb_buffer_pool_load_abort",,"0,1",false,"engine-default","dynamic","boolean","Interrupts the process of restoring InnoDB buffer pool contents triggered by innodb_buffer_pool_load_at_startup or innodb_buffer_pool_load_now.","pending-reboot",
"innodb_buffer_pool_load_at_startup",,"0,1",false,"engine-default","static","boolean","Specifies that, on MySQL server startup, the InnoDB buffer pool is automatically warmed up by loading the same pages it held at an earlier time.","pending-reboot",
"innodb_buffer_pool_load_now",,"0,1",false,"engine-default","dynamic","boolean","Immediately warms up the InnoDB buffer pool by loading a set of data pages, without waiting for a server restart. ","pending-reboot",
"innodb_buffer_pool_size","{DBInstanceClassMemory*3/4}","67108864-9223372036854775807",true,"system","static","integer","The size in bytes of the memory buffer innodb uses to cache data and indexes of its tables","pending-reboot",
"innodb_change_buffer_max_size",,"0-50",false,"engine-default","dynamic","integer","Maximum size for the InnoDB change buffer, as a percentage of the total size of the buffer pool.","pending-reboot",
"innodb_compression_failure_threshold_pct",,"0-100",true,"engine-default","dynamic","integer","Sets the cutoff point at which MySQL begins adding padding within compressed pages to avoid expensive compression failures.","pending-reboot",
"innodb_compression_level",,"0-9",true,"engine-default","dynamic","integer","Sets the cutoff point at which MySQL begins adding padding within compressed pages to avoid expensive compression failures.","pending-reboot",
"innodb_compression_pad_pct_max",,"0-75",true,"engine-default","dynamic","integer","Specifies the maximum percentage that can be reserved as free space within each compressed page, allowing room to reorganize the data and modification log within the page when a compressed table or index is updated and the data might be recompressed.","pending-reboot",
"innodb_concurrency_tickets",,"1-4294967295",true,"engine-default","dynamic","integer","Number of times a thread can enter and leave Innodb before it is subject to innodb-thread-concurrency","pending-reboot",
"innodb_file_format",,"Antelope,Barracuda",true,"engine-default","dynamic","string","Sets InnoDB Plug-in default file format.","pending-reboot",
"innodb_flushing_avg_loops",,"1-1000",false,"engine-default","dynamic","integer","Number of iterations for which InnoDB keeps the previously calculated snapshot of the flushing state, controlling how quickly adaptive flushing responds to changing workloads.","pending-reboot",
"innodb_flush_log_at_timeout",,"0-2700",false,"engine-default","dynamic","integer","Write and flush the logs every N seconds. This setting has an effect only when innodb_flush_log_at_trx_commit has a value of 2.","pending-reboot",
"innodb_flush_method","O_DIRECT","O_DIRECT",true,"system","static","string","Determines Innodb flush method","pending-reboot",
"innodb_flush_neighbors",,"0-2",false,"engine-default","dynamic","integer","Specifies whether flushing a page from the InnoDB buffer pool also flushes other dirty pages in the same extent.","pending-reboot",
"innodb_force_load_corrupted",,"0,1",false,"engine-default","static","boolean","Lets InnoDB load tables at startup that are marked as corrupted","pending-reboot",
"innodb_ft_aux_table",,,true,"engine-default","dynamic","string","Specifies the qualified name of an InnoDB table containing a FULLTEXT index.","pending-reboot",
"innodb_ft_cache_size",,"0-4294967295",true,"engine-default","static","integer","Size of the cache that holds a parsed document in memory while creating an InnoDB FULLTEXT index.","pending-reboot",
"innodb_ft_enable_stopword",,"0,1",true,"engine-default","dynamic","boolean","Specifies that a set of stopwords is associated with an InnoDB FULLTEXT index at the time the index is created.","pending-reboot",
"innodb_ft_server_stopword_table",,,true,"engine-default","dynamic","string","Name of the table containing a list of words to ignore when creating an InnoDB FULLTEXT index, in the format db_name/table_name.","pending-reboot",
"innodb_ft_user_stopword_table",,,true,"engine-default","dynamic","string","Name of the table containing a list of words to ignore when creating an InnoDB FULLTEXT index, in the format db_name/table_name.","pending-reboot",
"innodb_io_capacity",,"100-18446744073709551615",false,"engine-default","dynamic","integer","The maximum number of I/O operations per second that InnoDB will perform.","pending-reboot",
"innodb_io_capacity_max",,"2000-18446744073709547520",false,"engine-default","dynamic","integer","The limit up to which InnoDB is allowed to extend the innodb_io_capacity setting in case of emergency.","pending-reboot",
"innodb_large_prefix",,"0,1",true,"engine-default","dynamic","boolean","Enables or disables Innodb Large Prefix for Keys","pending-reboot",
"innodb_lock_wait_timeout",,"1-1073741824",true,"engine-default","dynamic","integer","Timeout in seconds an innodb transaction may wait for a row lock before giving up","pending-reboot",
"innodb_log_compressed_pages",,"0,1",false,"engine-default","dynamic","boolean","Specifies whether images of re-compressed pages are stored in InnoDB redo logs. ","pending-reboot",
"innodb_lru_scan_depth",,"100-18446744073709551615",true,"engine-default","dynamic","integer","A parameter that influences the algorithms and heuristics for the flush operation for the InnoDB buffer pool.","pending-reboot",
"innodb_max_dirty_pages_pct",,"0-99",true,"engine-default","dynamic","integer","Maximum percentage of dirty pages in the buffer pool","pending-reboot",
"innodb_max_purge_lag",,"0-4294967295",true,"engine-default","dynamic","integer","Controls how to delay INSERT, UPDATE, and DELETE operations when purge operations are lagging","pending-reboot",
"innodb_max_purge_lag_delay",,"0-18446744073709551615",true,"engine-default","dynamic","integer","Specifies the maximum delay in milliseconds for the delay imposed by the innodb_max_purge_lag configuration option","pending-reboot",
"innodb_monitor_disable",,,true,"engine-default","dynamic","string","Turns off one or more counters in the information_schema.innodb_metrics table.","pending-reboot",
"innodb_monitor_enable",,,true,"engine-default","dynamic","string","Turns on one or more counters in the information_schema.innodb_metrics table.","pending-reboot",
"innodb_monitor_reset",,,true,"engine-default","dynamic","string","Resets to zero the count value for one or more counters in the information_schema.innodb_metrics table.","pending-reboot",
"innodb_monitor_reset_all",,,true,"engine-default","dynamic","string","Resets all values (minimum, maximum, and so on) for one or more counters in the information_schema.innodb_metrics table.","pending-reboot",
"innodb_old_blocks_pct",,"5-95",true,"engine-default","dynamic","integer","Specifies the approximate percentage of the InnoDB buffer pool used for the old block sublist.","pending-reboot",
"innodb_old_blocks_time",,"0-4294967295",true,"engine-default","dynamic","integer","Specifies how long in milliseconds (ms) a block inserted into the old sublist must stay there after its first access before it can be moved to the new sublist.","pending-reboot",
"innodb_open_files",,"-1,10-4294967295",true,"engine-default","static","integer","Relevant only if you use multiple tablespaces in innodb. It specifies the maximum number of .ibd files that innodb can keep open at one time","pending-reboot",
"innodb_print_all_deadlocks",,"0,1",true,"engine-default","dynamic","boolean","Records information about all InnoDB deadlocks in Aurora error log.","pending-reboot",
"innodb_random_read_ahead",,"0,1",true,"engine-default","dynamic","boolean","Enables or disables Innodb Random Read Ahead","pending-reboot",
"innodb_read_ahead_threshold",,"0-64",true,"engine-default","dynamic","integer","Controls the sensitivity of linear read-ahead that InnoDB uses to prefetch pages into the buffer cache.","pending-reboot",
"innodb_read_io_threads",,"1-64",false,"engine-default","static","integer","The number of I/O threads for read operations in InnoDB.","pending-reboot",
"innodb_read_only",,"0,1",false,"engine-default","static","boolean","Starts the server in read-only mode.","pending-reboot",
"innodb_replication_delay",,"0-4294967295",true,"engine-default","dynamic","integer","The replication thread delay (in ms) on a slave server if innodb_thread_concurrency is reached.","pending-reboot",
"innodb_sort_buffer_size",,"65536-67108864",true,"engine-default","static","integer","Specifies the sizes of several buffers used for sorting data during creation of an InnoDB index.","pending-reboot",
"innodb_stats_auto_recalc",,"0,1",true,"system","dynamic","boolean","Causes InnoDB to automatically recalculate persistent statistics after the data in a table is changed substantially.","pending-reboot",
"innodb_stats_method",,"nulls_equal,nulls_unequal,nulls_ignored",true,"engine-default","dynamic","string","How the server treats NULL values when collecting statistics about the distribution of index values for InnoDB tables.","pending-reboot",
"innodb_stats_on_metadata",,"0,1",true,"engine-default","dynamic","boolean","Controls whether table and index stats are updated when getting status information via SHOW STATUS or the INFORMATION_SCHEMA","pending-reboot",
"innodb_stats_persistent",,"OFF,ON,0,1",true,"system","dynamic","boolean","Specifies whether the InnoDB index statistics produced by the ANALYZE TABLE command are stored on disk.","pending-reboot",
"innodb_stats_persistent_sample_pages",,"0-18446744073709551615",true,"engine-default","dynamic","integer","The number of index pages to sample when estimating cardinality and other statistics for an indexed column, such as those calculated by ANALYZE TABLE.","pending-reboot",
"innodb_stats_transient_sample_pages",,"0-18446744073709551615",true,"engine-default","dynamic","integer","The number of index pages to sample when estimating cardinality and other statistics for an indexed column, such as those calculated by ANALYZE TABLE.","pending-reboot",
"innodb_thread_concurrency",,"0-1000",false,"engine-default","dynamic","integer","The number of threads that can enter innodb concurrently","pending-reboot",
"innodb_thread_sleep_delay",,"0-9223372036854775807",true,"engine-default","dynamic","integer","How long innodb threads sleep before joining the innodb queue, in microseconds.","pending-reboot",
"innodb_use_native_aio",,"0,1",false,"engine-default","static","boolean","Controls whether or not MySQL uses Linux native asynchronous IO.","pending-reboot",
"innodb_write_io_threads",,"1-64",false,"engine-default","static","integer","The number of I/O threads for write operations in InnoDB.","pending-reboot",
"interactive_timeout",,"1-31536000",true,"engine-default","dynamic","integer","Number of seconds the server waits for activity on an interactive connection before closing it.","pending-reboot",
"join_buffer_size",,"128-18446744073709547520",true,"engine-default","dynamic","integer","Increase the value of join_buffer_size to get a faster full join when adding indexes is not possible.","pending-reboot",
"keep_files_on_create",,"0,1",true,"engine-default","dynamic","boolean","Suppress behavior to overwrite MyISAM file created in DATA DIRECTORY or INDEX DIRECTORY.","pending-reboot",
"key_buffer_size","16777216","4096-4294967295",true,"system","dynamic","integer","Increase the buffer size to get better index handling used for index blocks (for all reads and multiple writes).","pending-reboot",
"key_cache_age_threshold",,"100-18446744073709547520",true,"engine-default","dynamic","integer","Controls the demotion of buffers from the hot sub-chain of a key cache to the warm sub-chain. Lower values cause demotion to happen more quickly.","pending-reboot",
"key_cache_block_size",,"512-16384",true,"engine-default","dynamic","integer","Size in bytes of blocks in the key cache.","pending-reboot",
"key_cache_division_limit",,"1-100",true,"engine-default","dynamic","integer","The division point between the hot and warm sub-chains of the key cache buffer chain. The value is the percentage of the buffer chain to use for the warm sub-chain.","pending-reboot",
"local_infile","1","0,1",true,"system","dynamic","boolean","Controls whetther LOCAL is supported for LOAD DATA INFILE","pending-reboot",
"lock_wait_timeout",,"1-31536000",true,"engine-default","dynamic","integer","Specifies the timeout in seconds for attempts to acquire metadata locks","pending-reboot",
"log-bin","/rdsdbdata/log/binlog/mysql-bin-changelog",,false,"system","static","string","Controls binary logging.","pending-reboot",
"log_bin_trust_function_creators",,"0,1",true,"engine-default","dynamic","boolean","Enforces restrictions on stored functions / triggers - logging for replication.","pending-reboot",
"log_bin_use_v1_row_events",,"0,1",true,"engine-default","static","boolean","Whether MySQL writes binary log events using a Version 1 or Version 2 logging events","pending-reboot",
"log_error","/rdsdbdata/log/error/mysql-error.log",,false,"system","static","string","Location  of error log.","pending-reboot",
"log_output","TABLE","TABLE,FILE,NONE",true,"system","dynamic","string","Controls where to store query logs","pending-reboot",
"log_queries_not_using_indexes",,"0,1",true,"engine-default","dynamic","boolean","Logs queries that are expected to retrieve all rows to slow query log","pending-reboot",
"log_slave_updates","1","0,1",false,"system","static","boolean","Allow for chain replication - ingression","pending-reboot",
"log_throttle_queries_not_using_indexes",,"0-4294967295",true,"engine-default","dynamic","integer","Limits the number of such queries per minute that can be written to the slow query log.","pending-reboot",
"log_warnings",,"0-18446744073709547520",true,"engine-default","dynamic","integer","Controls whether to produce additional warning messages.","pending-reboot",
"long_query_time",,"0-31536000",true,"engine-default","dynamic","float","Defines what MySQL considers long queries","pending-reboot",
"low_priority_updates",,"0,1",true,"engine-default","dynamic","boolean","INSERT, UPDATE, DELETE, and LOCK TABLE WRITE wait until no pending SELECT. Affects only storage engines that use only table-level locking (MyISAM, MEMORY, MERGE).","pending-reboot",
"max_allowed_packet",,"1024-1073741824",true,"engine-default","dynamic","integer","This value by default is small, to catch large (possibly incorrect) packets. Must be increased if using large BLOB columns or long strings. As big as largest BLOB. ","pending-reboot",
"max_binlog_cache_size",,"4096-18446744073709547520",true,"engine-default","dynamic","integer","Maximum binlog cache size a transaction may use","pending-reboot",
"max_binlog_size","134217728","4096-1073741824",false,"system","dynamic","integer","Server rotates the binlog once it reaches this size","pending-reboot",
"max_binlog_stmt_cache_size",,"4096-18446744073709547520",true,"engine-default","dynamic","integer","If nontransactional statements within a transaction require more than this many bytes of memory, the server generates an error.","pending-reboot",
"max_connect_errors",,"1-18446744073709547520",true,"engine-default","dynamic","integer","A host is blocked from further connections if there are more than this number of interrupted connections","pending-reboot",
"max_connections","GREATEST({log(DBInstanceClassMemory/805306368)*45},{log(DBInstanceClassMemory/8187281408)*1000})","1-16000",true,"system","dynamic","integer","The number of simultaneous client connections allowed.","pending-reboot",
"max_delayed_threads",,"0-16384",true,"engine-default","dynamic","integer","Do not start more than this number of threads to handle INSERT DELAYED statements.","pending-reboot",
"max_error_count",,"0-65535",true,"engine-default","dynamic","integer","The maximum number of error, warning, and note messages to be stored for display.","pending-reboot",
"max_heap_table_size",,"16384-1844674407370954752",true,"engine-default","dynamic","integer","Maximum size to which MEMORY tables are allowed to grow.","pending-reboot",
"max_insert_delayed_threads",,"0-16384",true,"engine-default","dynamic","integer","Synonym for max_delayed_threads","pending-reboot",
"max_join_size",,"1-18446744073709551615",true,"engine-default","dynamic","integer","Catch SELECT statements where keys are not used properly and would probably take a long time. ","pending-reboot",
"max_length_for_sort_data",,"4-8388608",true,"engine-default","dynamic","integer","ORDER BY Optimization. The cutoff on the size of index values that determines which filesort algorithm to use.","pending-reboot",
"max_prepared_stmt_count",,"0-1048576",true,"engine-default","dynamic","integer","Used if the potential for denial-of-service attacks based on running the server out of memory by preparing huge numbers of statements.","pending-reboot",
"max_seeks_for_key",,"1-18446744073709547520",true,"engine-default","dynamic","integer","A low value can force MySQL to prefer indexes instead of table scans.","pending-reboot",
"max_sort_length",,"4-8388608",true,"engine-default","dynamic","integer","The number of bytes to use when sorting BLOB or TEXT values.","pending-reboot",
"max_sp_recursion_depth",,"0-255",true,"engine-default","dynamic","integer","Limits the number of times a stored procedure can be called recursively minimizing the demand on thread stack space.","pending-reboot",
"max_tmp_tables",,"1-9223372036854775807",true,"engine-default","dynamic","integer","The maximum number of temporary tables a client can keep open at the same time.","pending-reboot",
"max_user_connections",,"0-4294967295",true,"engine-default","dynamic","integer","Maximum number of simultaneous connections allowed to any given MySQL account. ","pending-reboot",
"max_write_lock_count",,"1-18446744073709547520",true,"engine-default","dynamic","integer","After this many write locks, allow some pending read lock requests to be processed in between.","pending-reboot",
"metadata_locks_cache_size",,"1-1048576",true,"engine-default","static","integer","The size of the metadata locks cache","pending-reboot",
"min_examined_row_limit",,"0-18446744073709547520",true,"engine-default","dynamic","integer","Can be used to cause queries which examine fewer than the stated number of rows not to be logged.","pending-reboot",
"myisam_data_pointer_size",,"2-7",true,"engine-default","dynamic","integer","The default pointer size in bytes, to be used by CREATE TABLE for MyISAM tables when no MAX_ROWS option is specified.","pending-reboot",
"myisam_max_sort_file_size",,"0-9223372036853727232",true,"engine-default","dynamic","integer","The maximum size of the temporary file that MySQL is allowed to use while re-creating a MyISAM index","pending-reboot",
"myisam_mmap_size",,"7-922337203685477807",true,"engine-default","static","integer","Maximum amount of memory to use for memory mapping compressed MyISAM files","pending-reboot",
"myisam_sort_buffer_size",,"4-9223372036854775807",true,"engine-default","dynamic","integer","Size of the buffer that is allocated when sorting MyISAM indexes during a REPAIR TABLE or when creating indexes with CREATE INDEX or ALTER TABLE.","pending-reboot",
"myisam_stats_method",,"nulls_equal,nulls_unequal,nulls_ignored",true,"engine-default","dynamic","string","How the server treats NULL values when collecting statistics about the distribution of index values for MyISAM tables","pending-reboot",
"myisam_use_mmap",,"0,1",true,"engine-default","dynamic","boolean","Memory mapping for reading and writing MyISAM tables.","pending-reboot",
"net_buffer_length",,"1024-1048576",true,"engine-default","dynamic","integer","This variable should not normally be changed. For use when very little memory is available. Set it to the expected length of statements sent by clients.","pending-reboot",
"net_read_timeout",,"1-31536000",true,"engine-default","dynamic","integer","The number of seconds to wait for more data from a TCP/IP connection before aborting the read.","pending-reboot",
"net_retry_count",,"1-9223372036854775807",true,"engine-default","dynamic","integer","If a read on a communication port is interrupted, retry this many times before giving up. This value should be set quite high on freebsd because internal interrupts are sent to all threads. ","pending-reboot",
"net_write_timeout",,"1-31536000",true,"engine-default","dynamic","integer","The number of seconds to wait on TCP/IP connections for a block to be written before aborting the write. ","pending-reboot",
"old_passwords",,"0,2",true,"engine-default","dynamic","integer","Force the server to generate short (pre-4.1) password hashes for new passwords. This is useful for compatibility when the server must support older client programs.","pending-reboot",
"old-style-user-limits",,"0,1",true,"engine-default","static","boolean","Enable old-style user limits.","pending-reboot",
"optimizer_prune_level",,"0,1",true,"engine-default","dynamic","boolean","Controls the heuristics applied during query optimization to prune less-promising partial plans from the optimizer search space.","pending-reboot",
"optimizer_search_depth",,"0-62",true,"engine-default","dynamic","integer","The maximum depth of search performed by the query optimizer.","pending-reboot",
"optimizer_switch",,"batched_key_access=on,batched_key_access=off,block_nested_loop=on,block_nested_loop=off,engine_condition_pushdown=off,engine_condition_pushdown=on,firstmatch=on,firstmatch=off,index_merge=on,index_merge=off,index_merge_intersection=on,index_merge_intersection=off,index_merge_union=on,index_merge_union=off,index_merge_sort_union=on,index_merge_sort_union=off,loosescan=on,loosescan=off,materialization=on,materialization=off,mrr=on,mrr=off,mrr_cost_based=on,mrr_cost_based=off,semijoin=on,semijoin=off,subquery_materialization_cost_based=on,subquery_materialization_cost_based=off,use_index_extensions=on,use_index_extensions=off",true,"engine-default","dynamic","list","Controls optimizer behavior. ","pending-reboot",
"optimizer_trace",,"enabled=on,enabled=off,one_line=on,one_line=off",true,"engine-default","dynamic","string","Controls how statements are traced.","pending-reboot",
"optimizer_trace_features",,"greedy_search=on,greedy_search=off,range_optimizer=on,range_optimizer=off,dynamic_range=on,dynamic_range=off,repeated_subselect=on,repeated_subselect=off",true,"engine-default","dynamic","string","Controls optimizations during statement tracing.","pending-reboot",
"optimizer_trace_limit",,"1-9223372036854775807",true,"engine-default","dynamic","integer","Controls the limit on trace retention.","pending-reboot",
"optimizer_trace_max_mem_size",,"0-18446744073709551615",true,"engine-default","dynamic","integer","Maximum allowed cumulated size of stored optimizer traces","pending-reboot",
"optimizer_trace_offset",,"-9223372036854775807-9223372036854775807",true,"engine-default","dynamic","integer","Controls the offset on trace retention.","pending-reboot",
"performance_schema","0","0,1",true,"system","static","boolean","Enables or disables the Performance Schema","pending-reboot",
"performance_schema_accounts_size",,"-1-1048576",true,"engine-default","static","integer","The number of rows in the Performance Schema accounts table","pending-reboot",
"performance_schema_consumer_events_stages_current",,"0,1",true,"engine-default","static","boolean","Enable the events_stages_current consumer","pending-reboot",
"performance_schema_consumer_events_stages_history",,"0,1",true,"engine-default","static","boolean","Enable the events_stages_history consumer","pending-reboot",
"performance_schema_consumer_events_stages_history_long",,"0,1",true,"engine-default","static","boolean","Enable the events_stages_history_long consumer","pending-reboot",
"performance_schema_consumer_events_statements_current",,"0,1",true,"engine-default","static","boolean","Enable the events_statements_current consumer","pending-reboot",
"performance_schema_consumer_events_statements_history",,"0,1",true,"engine-default","static","boolean","Enable the events_statements_history consumer","pending-reboot",
"performance_schema_consumer_events_statements_history_long",,"0,1",true,"engine-default","static","boolean","Enable the events_statements_history_long consumer","pending-reboot",
"performance-schema-consumer-events-waits-current",,"ON,OFF",true,"engine-default","static","string","Configure the events-waits-current consumer.","pending-reboot",
"performance_schema_consumer_events_waits_history",,"0,1",true,"engine-default","static","boolean","Enable the events_waits_history consumer","pending-reboot",
"performance_schema_consumer_events_waits_history_long",,"0,1",true,"engine-default","static","boolean","Enable the events_waits_history_long consumer","pending-reboot",
"performance_schema_consumer_global_instrumentation",,"0,1",true,"engine-default","static","boolean","Enable the global instrumentation consumer","pending-reboot",
"performance_schema_consumer_statements_digest",,"0,1",true,"engine-default","static","boolean","Enable the statements_digest consumer","pending-reboot",
"performance_schema_consumer_thread_instrumentation",,"0,1",true,"engine-default","static","boolean","Enable the thread instrumentation consumer","pending-reboot",
"performance_schema_digests_size",,"-1-1048576",true,"engine-default","static","integer","The maximum number of rows in the events_statements_summary_by_digest table","pending-reboot",
"performance_schema_events_stages_history_long_size",,"-1-1048576",true,"engine-default","static","integer","The number of rows in the events_stages_history_long table","pending-reboot",
